name,coeff,label,segment,term,hcc,source_version
CNA_F65_69,0.330, Female 65-69,CNA,F65_69,,cmshcc_v28_py2026
CNA_F70_74,0.395, Female 70-74,CNA,F70_74,,cmshcc_v28_py2026
CNA_F75_79,0.465, Female 75-79,CNA,F75_79,,cmshcc_v28_py2026
CNA_F80_84,0.524, Female 80-84,CNA,F80_84,,cmshcc_v28_py2026
CNA_F85_89,0.624, Female 85-89,CNA,F85_89,,cmshcc_v28_py2026
CNA_F90_94,0.737, Female 90-94,CNA,F90_94,,cmshcc_v28_py2026
CNA_F95_GT,0.742, Female 95+,CNA,F95_GT,,cmshcc_v28_py2026
CNA_M65_69,0.332, Male 65-69,CNA,M65_69,,cmshcc_v28_py2026
CNA_M70_74,0.396, Male 70-74,CNA,M70_74,,cmshcc_v28_py2026
CNA_M75_79,0.502, Male 75-79,CNA,M75_79,,cmshcc_v28_py2026
CNA_M80_84,0.571, Male 80-84,CNA,M80_84,,cmshcc_v28_py2026
CNA_M85_89,0.664, Male 85-89,CNA,M85_89,,cmshcc_v28_py2026
CNA_M90_94,0.800, Male 90-94,CNA,M90_94,,cmshcc_v28_py2026
CNA_M95_GT,0.896, Male 95+,CNA,M95_GT,,cmshcc_v28_py2026
CNA_OriginallyDisabled_Female,0.228, Originally Disabled Female,CNA,OriginallyDisabled_Female,,cmshcc_v28_py2026
CNA_OriginallyDisabled_Male,0.135, Originally Disabled Male,CNA,OriginallyDisabled_Male,,cmshcc_v28_py2026
CNA_HCC1,0.301, HIV/AIDS,CNA,HCC1,1,cmshcc_v28_py2026
CNA_HCC2,0.500, Septicemia/Sepsis/Systemic Inflammatory Response Syndrome/Shock,CNA,HCC2,2,cmshcc_v28_py2026
CNA_HCC6,0.381, Opportunistic Infections,CNA,HCC6,6,cmshcc_v28_py2026
CNA_HCC17,4.209, Cancer Metastatic to Lung/Liver/Brain/and Other Organs; Acute Myeloid Leukemia Except Promyelocytic,CNA,HCC17,17,cmshcc_v28_py2026
CNA_HCC18,2.341, Cancer Metastatic to Bone/Other and Unspecified Metastatic Cancer; Acute Leukemia Except Myeloid,CNA,HCC18,18,cmshcc_v28_py2026
CNA_HCC19,1.798, Myelodysplastic Syndromes/Multiple Myeloma/and Other Cancers,CNA,HCC19,19,cmshcc_v28_py2026
CNA_HCC20,1.136, Lung and Other Severe Cancers,CNA,HCC20,20,cmshcc_v28_py2026
CNA_HCC21,0.671, Lymphoma and Other Cancers,CNA,HCC21,21,cmshcc_v28_py2026
CNA_HCC22,0.363, Bladder/Colorectal/and Other Cancers,CNA,HCC22,22,cmshcc_v28_py2026
CNA_HCC23,0.186, Prostate/Breast/and Other Cancers and Tumors,CNA,HCC23,23,cmshcc_v28_py2026
CNA_HCC35,0.949, Pancreas Transplant Status,CNA,HCC35,35,cmshcc_v28_py2026
CNA_HCC36,0.166, Diabetes with Severe Acute Complications,CNA,HCC36,36,cmshcc_v28_py2026
CNA_HCC37,0.166, Diabetes with Chronic Complications,CNA,HCC37,37,cmshcc_v28_py2026
CNA_HCC38,0.166, Diabetes with Glycemic/Unspecified/No Complications,CNA,HCC38,38,cmshcc_v28_py2026
CNA_HCC48,0.186, Morbid Obesity,CNA,HCC48,48,cmshcc_v28_py2026
CNA_HCC49,9.256, Specified Lysosomal Storage Disorders,CNA,HCC49,49,cmshcc_v28_py2026
CNA_HCC50,0.648, Amyloidosis/Porphyria/and Other Specified Metabolic Disorders,CNA,HCC50,50,cmshcc_v28_py2026
CNA_HCC51,0.510, Addisons and Cushings Diseases/Acromegaly/and Other Specified Endocrine Disorders,CNA,HCC51,51,cmshcc_v28_py2026
CNA_HCC62,0.376, Liver Transplant Status/Complications,CNA,HCC62,62,cmshcc_v28_py2026
CNA_HCC63,0.962, Chronic Liver Failure/End-Stage Liver Disorders,CNA,HCC63,63,cmshcc_v28_py2026
CNA_HCC64,0.447, Cirrhosis of Liver,CNA,HCC64,64,cmshcc_v28_py2026
CNA_HCC65,0.185, Chronic Hepatitis,CNA,HCC65,65,cmshcc_v28_py2026
CNA_HCC68,0.388, Cholangitis and Obstruction of Bile Duct Without Gallstones,CNA,HCC68,68,cmshcc_v28_py2026
CNA_HCC77,1.172, Intestine Transplant Status/Complications,CNA,HCC77,77,cmshcc_v28_py2026
CNA_HCC78,0.326, Intestinal Obstruction/Perforation,CNA,HCC78,78,cmshcc_v28_py2026
CNA_HCC79,0.357, Chronic Pancreatitis,CNA,HCC79,79,cmshcc_v28_py2026
CNA_HCC80,0.550, Crohns Disease (Regional Enteritis),CNA,HCC80,80,cmshcc_v28_py2026
CNA_HCC81,0.244, Ulcerative Colitis,CNA,HCC81,81,cmshcc_v28_py2026
CNA_HCC92,0.479, Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,CNA,HCC92,92,cmshcc_v28_py2026
CNA_HCC93,0.617, Rheumatoid Arthritis and Other Specified Inflammatory Rheumatic Disorders,CNA,HCC93,93,cmshcc_v28_py2026
CNA_HCC94,0.268, Systemic Lupus Erythematosus and Other Specified Systemic Connective Tissue Disorders,CNA,HCC94,94,cmshcc_v28_py2026
CNA_HCC107,0.457, Sickle Cell Anemia (Hb-SS) and Thalassemia Beta Zero,CNA,HCC107,107,cmshcc_v28_py2026
CNA_HCC108,0.146, Sickle Cell Disorders/Except Sickle Cell Anemia (Hb-SS) and Thalassemia Beta Zero; Beta Thalassemia Major,CNA,HCC108,108,cmshcc_v28_py2026
CNA_HCC109,1.144, Acquired Hemolytic/Aplastic/and Sideroblastic Anemias,CNA,HCC109,109,cmshcc_v28_py2026
CNA_HCC111,4.639, Hemophilia/Male,CNA,HCC111,111,cmshcc_v28_py2026
CNA_HCC112,0.450, Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,CNA,HCC112,112,cmshcc_v28_py2026
CNA_HCC114,2.262, Common Variable and Combined Immunodeficiencies,CNA,HCC114,114,cmshcc_v28_py2026
CNA_HCC115,0.565, Specified Immunodeficiencies and White Blood Cell Disorders,CNA,HCC115,115,cmshcc_v28_py2026
CNA_HCC125,0.341, Dementia/Severe,CNA,HCC125,125,cmshcc_v28_py2026
CNA_HCC126,0.341, Dementia/Moderate,CNA,HCC126,126,cmshcc_v28_py2026
CNA_HCC127,0.341, Dementia/Mild or Unspecified,CNA,HCC127,127,cmshcc_v28_py2026
CNA_HCC135,0.424, Drug Use with Psychotic Complications,CNA,HCC135,135,cmshcc_v28_py2026
CNA_HCC136,0.424, Alcohol Use with Psychotic Complications,CNA,HCC136,136,cmshcc_v28_py2026
CNA_HCC137,0.424, Drug Use Disorder/Moderate/Severe/Drug Use with Non-Psychotic Complications,CNA,HCC137,137,cmshcc_v28_py2026
CNA_HCC138,0.423, Drug Use Disorder/Mild/Uncomplicated/Except Cannabis,CNA,HCC138,138,cmshcc_v28_py2026
CNA_HCC139,0.242, Alcohol Use Disorder/Moderate/Severe/Alcohol Use with Specified Non-Psychotic Complications,CNA,HCC139,139,cmshcc_v28_py2026
CNA_HCC151,0.511, Schizophrenia,CNA,HCC151,151,cmshcc_v28_py2026
CNA_HCC152,0.484, Psychosis/Except Schizophrenia,CNA,HCC152,152,cmshcc_v28_py2026
CNA_HCC153,0.396, Personality Disorders; Anorexia/Bulimia Nervosa,CNA,HCC153,153,cmshcc_v28_py2026
CNA_HCC154,0.351, Bipolar Disorders without Psychosis,CNA,HCC154,154,cmshcc_v28_py2026
CNA_HCC155,0.299, Major Depression/Moderate or Severe/without Psychosis,CNA,HCC155,155,cmshcc_v28_py2026
CNA_HCC180,1.125, Quadriplegia,CNA,HCC180,180,cmshcc_v28_py2026
CNA_HCC181,0.942, Paraplegia,CNA,HCC181,181,cmshcc_v28_py2026
CNA_HCC182,0.478, Spinal Cord Disorders/Injuries,CNA,HCC182,182,cmshcc_v28_py2026
CNA_HCC190,1.175, Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease/Spinal Muscular Atrophy,CNA,HCC190,190,cmshcc_v28_py2026
CNA_HCC191,0.855, Quadriplegic Cerebral Palsy,CNA,HCC191,191,cmshcc_v28_py2026
CNA_HCC192,0.314, Cerebral Palsy/Except Quadriplegic,CNA,HCC192,192,cmshcc_v28_py2026
CNA_HCC193,1.692, Chronic Inflammatory Demyelinating Polyneuritis and Multifocal Motor Neuropathy,CNA,HCC193,193,cmshcc_v28_py2026
CNA_HCC195,2.909, Myasthenia Gravis with (Acute) Exacerbation,CNA,HCC195,195,cmshcc_v28_py2026
CNA_HCC196,0.516, Myasthenia Gravis without (Acute) Exacerbation and Other Myoneural Disorders,CNA,HCC196,196,cmshcc_v28_py2026
CNA_HCC197,0.426, Muscular Dystrophy,CNA,HCC197,197,cmshcc_v28_py2026
CNA_HCC198,0.647, Multiple Sclerosis,CNA,HCC198,198,cmshcc_v28_py2026
CNA_HCC199,0.615, Parkinson and Other Degenerative Disease of Basal Ganglia,CNA,HCC199,199,cmshcc_v28_py2026
CNA_HCC200,0.279, Friedreich and Other Hereditary Ataxias; Huntington Disease,CNA,HCC200,200,cmshcc_v28_py2026
CNA_HCC201,0.245, Seizure Disorders and Convulsions,CNA,HCC201,201,cmshcc_v28_py2026
CNA_HCC202,0.543, Coma/Brain Compression/Anoxic Damage,CNA,HCC202,202,cmshcc_v28_py2026
CNA_HCC211,0.879, Respirator Dependence/Tracheostomy Status/Complications,CNA,HCC211,211,cmshcc_v28_py2026
CNA_HCC212,0.370, Respiratory Arrest,CNA,HCC212,212,cmshcc_v28_py2026
CNA_HCC213,0.370, Cardio-Respiratory Failure and Shock,CNA,HCC213,213,cmshcc_v28_py2026
CNA_HCC221,1.053, Heart Transplant Status/Complications,CNA,HCC221,221,cmshcc_v28_py2026
CNA_HCC222,2.505, End-Stage Heart Failure,CNA,HCC222,222,cmshcc_v28_py2026
CNA_HCC223,2.505, Heart Failure with Heart Assist Device/Artificial Heart,CNA,HCC223,223,cmshcc_v28_py2026
CNA_HCC224,0.360, Acute on Chronic Heart Failure,CNA,HCC224,224,cmshcc_v28_py2026
CNA_HCC225,0.360, Acute Heart Failure (Excludes Acute on Chronic),CNA,HCC225,225,cmshcc_v28_py2026
CNA_HCC226,0.360, Heart Failure/Except End-Stage and Acute,CNA,HCC226,226,cmshcc_v28_py2026
CNA_HCC227,0.189, Cardiomyopathy/Myocarditis,CNA,HCC227,227,cmshcc_v28_py2026
CNA_HCC228,0.252, Acute Myocardial Infarction,CNA,HCC228,228,cmshcc_v28_py2026
CNA_HCC229,0.240, Unstable Angina and Other Acute Ischemic Heart Disease,CNA,HCC229,229,cmshcc_v28_py2026
CNA_HCC238,0.299, Specified Heart Arrhythmias,CNA,HCC238,238,cmshcc_v28_py2026
CNA_HCC248,0.239, Intracranial Hemorrhage,CNA,HCC248,248,cmshcc_v28_py2026
CNA_HCC249,0.239, Ischemic or Unspecified Stroke,CNA,HCC249,249,cmshcc_v28_py2026
