icd10cm_code,hcc,source_version
A0104,92,cmshcc_v28_py2026
A0105,92,cmshcc_v28_py2026
A021,2,cmshcc_v28_py2026
A0223,92,cmshcc_v28_py2026
A0224,92,cmshcc_v28_py2026
A065,283,cmshcc_v28_py2026
A072,6,cmshcc_v28_py2026
A207,2,cmshcc_v28_py2026
A227,2,cmshcc_v28_py2026
A267,2,cmshcc_v28_py2026
A310,6,cmshcc_v28_py2026
A312,6,cmshcc_v28_py2026
A327,2,cmshcc_v28_py2026
A3681,227,cmshcc_v28_py2026
A392,2,cmshcc_v28_py2026
A393,2,cmshcc_v28_py2026
A394,2,cmshcc_v28_py2026
A3983,92,cmshcc_v28_py2026
A3984,92,cmshcc_v28_py2026
A400,2,cmshcc_v28_py2026
A401,2,cmshcc_v28_py2026
A403,2,cmshcc_v28_py2026
A408,2,cmshcc_v28_py2026
A409,2,cmshcc_v28_py2026
A4101,2,cmshcc_v28_py2026
A4102,2,cmshcc_v28_py2026
A411,2,cmshcc_v28_py2026
A412,2,cmshcc_v28_py2026
A413,2,cmshcc_v28_py2026
A414,2,cmshcc_v28_py2026
A4150,2,cmshcc_v28_py2026
A4151,2,cmshcc_v28_py2026
A4152,2,cmshcc_v28_py2026
A4153,2,cmshcc_v28_py2026
A4154,2,cmshcc_v28_py2026
A4159,2,cmshcc_v28_py2026
A4181,2,cmshcc_v28_py2026
A4189,2,cmshcc_v28_py2026
A419,2,cmshcc_v28_py2026
A427,2,cmshcc_v28_py2026
A480,263,cmshcc_v28_py2026
A481,282,cmshcc_v28_py2026
A483,2,cmshcc_v28_py2026
A5055,92,cmshcc_v28_py2026
A5440,92,cmshcc_v28_py2026
A5441,92,cmshcc_v28_py2026
A5442,92,cmshcc_v28_py2026
A5443,92,cmshcc_v28_py2026
A5449,92,cmshcc_v28_py2026
A5485,78,cmshcc_v28_py2026
A5486,2,cmshcc_v28_py2026
A666,92,cmshcc_v28_py2026
A6923,92,cmshcc_v28_py2026
A8100,127,cmshcc_v28_py2026
A8101,127,cmshcc_v28_py2026
A8109,127,cmshcc_v28_py2026
A811,127,cmshcc_v28_py2026
A812,127,cmshcc_v28_py2026
A8181,127,cmshcc_v28_py2026
A8182,127,cmshcc_v28_py2026
A8183,127,cmshcc_v28_py2026
A8189,127,cmshcc_v28_py2026
A819,127,cmshcc_v28_py2026
B007,2,cmshcc_v28_py2026
B0082,182,cmshcc_v28_py2026
B0112,182,cmshcc_v28_py2026
B0224,182,cmshcc_v28_py2026
B0682,92,cmshcc_v28_py2026
B180,65,cmshcc_v28_py2026
B181,65,cmshcc_v28_py2026
B182,65,cmshcc_v28_py2026
B188,65,cmshcc_v28_py2026
B189,65,cmshcc_v28_py2026
B20,1,cmshcc_v28_py2026
B250,6,cmshcc_v28_py2026
B251,6,cmshcc_v28_py2026
B252,6,cmshcc_v28_py2026
B258,6,cmshcc_v28_py2026
B259,6,cmshcc_v28_py2026
B2685,92,cmshcc_v28_py2026
B3324,227,cmshcc_v28_py2026
B371,6,cmshcc_v28_py2026
B377,2,cmshcc_v28_py2026
B377,6,cmshcc_v28_py2026
B3781,6,cmshcc_v28_py2026
B4282,92,cmshcc_v28_py2026
B440,6,cmshcc_v28_py2026
B441,6,cmshcc_v28_py2026
B442,6,cmshcc_v28_py2026
B447,6,cmshcc_v28_py2026
B4481,280,cmshcc_v28_py2026
B4489,6,cmshcc_v28_py2026
B449,6,cmshcc_v28_py2026
B450,6,cmshcc_v28_py2026
B451,6,cmshcc_v28_py2026
B452,6,cmshcc_v28_py2026
B453,6,cmshcc_v28_py2026
B457,6,cmshcc_v28_py2026
B458,6,cmshcc_v28_py2026
B459,6,cmshcc_v28_py2026
B460,6,cmshcc_v28_py2026
B461,6,cmshcc_v28_py2026
B462,6,cmshcc_v28_py2026
B463,6,cmshcc_v28_py2026
B464,6,cmshcc_v28_py2026
B465,6,cmshcc_v28_py2026
B468,6,cmshcc_v28_py2026
B469,6,cmshcc_v28_py2026
B484,6,cmshcc_v28_py2026
B488,6,cmshcc_v28_py2026
B582,6,cmshcc_v28_py2026
B583,6,cmshcc_v28_py2026
B59,6,cmshcc_v28_py2026
B9735,1,cmshcc_v28_py2026
C01,21,cmshcc_v28_py2026
C020,21,cmshcc_v28_py2026
C021,21,cmshcc_v28_py2026
C022,21,cmshcc_v28_py2026
C023,21,cmshcc_v28_py2026
C024,21,cmshcc_v28_py2026
C028,21,cmshcc_v28_py2026
C029,21,cmshcc_v28_py2026
C030,21,cmshcc_v28_py2026
C031,21,cmshcc_v28_py2026
C039,21,cmshcc_v28_py2026
C040,21,cmshcc_v28_py2026
C041,21,cmshcc_v28_py2026
C048,21,cmshcc_v28_py2026
C049,21,cmshcc_v28_py2026
C050,21,cmshcc_v28_py2026
C051,21,cmshcc_v28_py2026
C052,21,cmshcc_v28_py2026
C058,21,cmshcc_v28_py2026
C059,21,cmshcc_v28_py2026
C060,21,cmshcc_v28_py2026
C061,21,cmshcc_v28_py2026
C062,21,cmshcc_v28_py2026
C0680,21,cmshcc_v28_py2026
C0689,21,cmshcc_v28_py2026
C069,21,cmshcc_v28_py2026
C07,21,cmshcc_v28_py2026
C080,21,cmshcc_v28_py2026
C081,21,cmshcc_v28_py2026
C089,21,cmshcc_v28_py2026
C090,21,cmshcc_v28_py2026
C091,21,cmshcc_v28_py2026
C098,21,cmshcc_v28_py2026
C099,21,cmshcc_v28_py2026
C100,21,cmshcc_v28_py2026
C101,21,cmshcc_v28_py2026
C102,21,cmshcc_v28_py2026
C103,21,cmshcc_v28_py2026
C104,21,cmshcc_v28_py2026
C108,21,cmshcc_v28_py2026
C109,21,cmshcc_v28_py2026
C110,21,cmshcc_v28_py2026
C111,21,cmshcc_v28_py2026
C112,21,cmshcc_v28_py2026
C113,21,cmshcc_v28_py2026
C118,21,cmshcc_v28_py2026
C119,21,cmshcc_v28_py2026
C12,21,cmshcc_v28_py2026
C130,21,cmshcc_v28_py2026
C131,21,cmshcc_v28_py2026
C132,21,cmshcc_v28_py2026
C138,21,cmshcc_v28_py2026
C139,21,cmshcc_v28_py2026
C140,21,cmshcc_v28_py2026
C142,21,cmshcc_v28_py2026
C148,21,cmshcc_v28_py2026
C153,20,cmshcc_v28_py2026
C154,20,cmshcc_v28_py2026
C155,20,cmshcc_v28_py2026
C158,20,cmshcc_v28_py2026
C159,20,cmshcc_v28_py2026
C160,20,cmshcc_v28_py2026
C161,20,cmshcc_v28_py2026
C162,20,cmshcc_v28_py2026
C163,20,cmshcc_v28_py2026
C164,20,cmshcc_v28_py2026
C165,20,cmshcc_v28_py2026
C166,20,cmshcc_v28_py2026
C168,20,cmshcc_v28_py2026
C169,20,cmshcc_v28_py2026
C170,20,cmshcc_v28_py2026
C171,20,cmshcc_v28_py2026
C172,20,cmshcc_v28_py2026
C173,20,cmshcc_v28_py2026
C178,20,cmshcc_v28_py2026
C179,20,cmshcc_v28_py2026
C180,22,cmshcc_v28_py2026
C181,22,cmshcc_v28_py2026
C182,22,cmshcc_v28_py2026
C183,22,cmshcc_v28_py2026
C184,22,cmshcc_v28_py2026
C185,22,cmshcc_v28_py2026
C186,22,cmshcc_v28_py2026
C187,22,cmshcc_v28_py2026
C188,22,cmshcc_v28_py2026
C189,22,cmshcc_v28_py2026
C19,22,cmshcc_v28_py2026
C20,22,cmshcc_v28_py2026
C210,22,cmshcc_v28_py2026
C211,22,cmshcc_v28_py2026
C212,22,cmshcc_v28_py2026
C218,22,cmshcc_v28_py2026
C220,20,cmshcc_v28_py2026
C221,20,cmshcc_v28_py2026
C222,20,cmshcc_v28_py2026
C223,20,cmshcc_v28_py2026
C224,20,cmshcc_v28_py2026
C227,20,cmshcc_v28_py2026
C228,20,cmshcc_v28_py2026
C229,20,cmshcc_v28_py2026
C23,20,cmshcc_v28_py2026
C240,20,cmshcc_v28_py2026
C241,20,cmshcc_v28_py2026
C248,20,cmshcc_v28_py2026
C249,20,cmshcc_v28_py2026
C250,20,cmshcc_v28_py2026
C251,20,cmshcc_v28_py2026
C252,20,cmshcc_v28_py2026
C253,20,cmshcc_v28_py2026
C254,20,cmshcc_v28_py2026
C257,20,cmshcc_v28_py2026
C258,20,cmshcc_v28_py2026
C259,20,cmshcc_v28_py2026
C260,22,cmshcc_v28_py2026
C261,22,cmshcc_v28_py2026
C269,22,cmshcc_v28_py2026
C300,21,cmshcc_v28_py2026
C301,21,cmshcc_v28_py2026
C310,21,cmshcc_v28_py2026
C311,21,cmshcc_v28_py2026
C312,21,cmshcc_v28_py2026
C313,21,cmshcc_v28_py2026
C318,21,cmshcc_v28_py2026
C319,21,cmshcc_v28_py2026
C320,21,cmshcc_v28_py2026
C321,21,cmshcc_v28_py2026
C322,21,cmshcc_v28_py2026
C323,21,cmshcc_v28_py2026
C328,21,cmshcc_v28_py2026
C329,21,cmshcc_v28_py2026
C33,20,cmshcc_v28_py2026
C3400,20,cmshcc_v28_py2026
C3401,20,cmshcc_v28_py2026
C3402,20,cmshcc_v28_py2026
C3410,20,cmshcc_v28_py2026
C3411,20,cmshcc_v28_py2026
C3412,20,cmshcc_v28_py2026
C342,20,cmshcc_v28_py2026
C3430,20,cmshcc_v28_py2026
C3431,20,cmshcc_v28_py2026
C3432,20,cmshcc_v28_py2026
C3480,20,cmshcc_v28_py2026
C3481,20,cmshcc_v28_py2026
C3482,20,cmshcc_v28_py2026
C3490,20,cmshcc_v28_py2026
C3491,20,cmshcc_v28_py2026
C3492,20,cmshcc_v28_py2026
C37,21,cmshcc_v28_py2026
C380,20,cmshcc_v28_py2026
C381,21,cmshcc_v28_py2026
C382,21,cmshcc_v28_py2026
C383,21,cmshcc_v28_py2026
C384,20,cmshcc_v28_py2026
C388,21,cmshcc_v28_py2026
C390,21,cmshcc_v28_py2026
C399,21,cmshcc_v28_py2026
C4000,21,cmshcc_v28_py2026
C4001,21,cmshcc_v28_py2026
C4002,21,cmshcc_v28_py2026
C4010,21,cmshcc_v28_py2026
C4011,21,cmshcc_v28_py2026
C4012,21,cmshcc_v28_py2026
C4020,21,cmshcc_v28_py2026
C4021,21,cmshcc_v28_py2026
C4022,21,cmshcc_v28_py2026
C4030,21,cmshcc_v28_py2026
C4031,21,cmshcc_v28_py2026
C4032,21,cmshcc_v28_py2026
C4080,21,cmshcc_v28_py2026
C4081,21,cmshcc_v28_py2026
C4082,21,cmshcc_v28_py2026
C4090,21,cmshcc_v28_py2026
C4091,21,cmshcc_v28_py2026
C4092,21,cmshcc_v28_py2026
C410,21,cmshcc_v28_py2026
C411,21,cmshcc_v28_py2026
C412,21,cmshcc_v28_py2026
C413,21,cmshcc_v28_py2026
C414,21,cmshcc_v28_py2026
C419,21,cmshcc_v28_py2026
C430,23,cmshcc_v28_py2026
C4310,23,cmshcc_v28_py2026
C43111,23,cmshcc_v28_py2026
C43112,23,cmshcc_v28_py2026
C43121,23,cmshcc_v28_py2026
C43122,23,cmshcc_v28_py2026
C4320,23,cmshcc_v28_py2026
C4321,23,cmshcc_v28_py2026
C4322,23,cmshcc_v28_py2026
C4330,23,cmshcc_v28_py2026
C4331,23,cmshcc_v28_py2026
C4339,23,cmshcc_v28_py2026
C434,23,cmshcc_v28_py2026
C4351,23,cmshcc_v28_py2026
C4352,23,cmshcc_v28_py2026
C4359,23,cmshcc_v28_py2026
C4360,23,cmshcc_v28_py2026
C4361,23,cmshcc_v28_py2026
C4362,23,cmshcc_v28_py2026
C4370,23,cmshcc_v28_py2026
C4371,23,cmshcc_v28_py2026
C4372,23,cmshcc_v28_py2026
C438,23,cmshcc_v28_py2026
C439,23,cmshcc_v28_py2026
C450,19,cmshcc_v28_py2026
C451,19,cmshcc_v28_py2026
C452,19,cmshcc_v28_py2026
C457,19,cmshcc_v28_py2026
C459,19,cmshcc_v28_py2026
C460,21,cmshcc_v28_py2026
C461,21,cmshcc_v28_py2026
C462,21,cmshcc_v28_py2026
C463,21,cmshcc_v28_py2026
C464,21,cmshcc_v28_py2026
C4650,21,cmshcc_v28_py2026
C4651,21,cmshcc_v28_py2026
C4652,21,cmshcc_v28_py2026
C467,21,cmshcc_v28_py2026
C469,21,cmshcc_v28_py2026
C470,21,cmshcc_v28_py2026
C4710,21,cmshcc_v28_py2026
C4711,21,cmshcc_v28_py2026
C4712,21,cmshcc_v28_py2026
C4720,21,cmshcc_v28_py2026
C4721,21,cmshcc_v28_py2026
C4722,21,cmshcc_v28_py2026
C473,21,cmshcc_v28_py2026
C474,23,cmshcc_v28_py2026
C475,21,cmshcc_v28_py2026
C476,21,cmshcc_v28_py2026
C478,21,cmshcc_v28_py2026
C479,21,cmshcc_v28_py2026
C480,20,cmshcc_v28_py2026
C481,20,cmshcc_v28_py2026
C482,20,cmshcc_v28_py2026
C488,20,cmshcc_v28_py2026
C490,21,cmshcc_v28_py2026
C4910,21,cmshcc_v28_py2026
C4911,21,cmshcc_v28_py2026
C4912,21,cmshcc_v28_py2026
C4920,21,cmshcc_v28_py2026
C4921,21,cmshcc_v28_py2026
C4922,21,cmshcc_v28_py2026
C493,21,cmshcc_v28_py2026
C494,23,cmshcc_v28_py2026
C495,21,cmshcc_v28_py2026
C496,21,cmshcc_v28_py2026
C498,21,cmshcc_v28_py2026
C499,21,cmshcc_v28_py2026
C49A0,23,cmshcc_v28_py2026
C49A1,23,cmshcc_v28_py2026
C49A2,23,cmshcc_v28_py2026
C49A3,23,cmshcc_v28_py2026
C49A4,23,cmshcc_v28_py2026
C49A5,23,cmshcc_v28_py2026
C49A9,23,cmshcc_v28_py2026
C4A0,21,cmshcc_v28_py2026
C4A10,21,cmshcc_v28_py2026
C4A111,21,cmshcc_v28_py2026
C4A112,21,cmshcc_v28_py2026
C4A121,21,cmshcc_v28_py2026
C4A122,21,cmshcc_v28_py2026
C4A20,21,cmshcc_v28_py2026
C4A21,21,cmshcc_v28_py2026
C4A22,21,cmshcc_v28_py2026
C4A30,21,cmshcc_v28_py2026
C4A31,21,cmshcc_v28_py2026
C4A39,21,cmshcc_v28_py2026
C4A4,21,cmshcc_v28_py2026
C4A51,21,cmshcc_v28_py2026
C4A52,21,cmshcc_v28_py2026
C4A59,21,cmshcc_v28_py2026
C4A60,21,cmshcc_v28_py2026
C4A61,21,cmshcc_v28_py2026
C4A62,21,cmshcc_v28_py2026
C4A70,21,cmshcc_v28_py2026
C4A71,21,cmshcc_v28_py2026
C4A72,21,cmshcc_v28_py2026
C4A8,21,cmshcc_v28_py2026
C4A9,21,cmshcc_v28_py2026
C50011,23,cmshcc_v28_py2026
C50012,23,cmshcc_v28_py2026
C50019,23,cmshcc_v28_py2026
C50021,23,cmshcc_v28_py2026
C50022,23,cmshcc_v28_py2026
C50029,23,cmshcc_v28_py2026
C50111,23,cmshcc_v28_py2026
C50112,23,cmshcc_v28_py2026
C50119,23,cmshcc_v28_py2026
C50121,23,cmshcc_v28_py2026
C50122,23,cmshcc_v28_py2026
C50129,23,cmshcc_v28_py2026
C50211,23,cmshcc_v28_py2026
C50212,23,cmshcc_v28_py2026
C50219,23,cmshcc_v28_py2026
C50221,23,cmshcc_v28_py2026
C50222,23,cmshcc_v28_py2026
C50229,23,cmshcc_v28_py2026
C50311,23,cmshcc_v28_py2026
C50312,23,cmshcc_v28_py2026
C50319,23,cmshcc_v28_py2026
C50321,23,cmshcc_v28_py2026
C50322,23,cmshcc_v28_py2026
C50329,23,cmshcc_v28_py2026
C50411,23,cmshcc_v28_py2026
C50412,23,cmshcc_v28_py2026
C50419,23,cmshcc_v28_py2026
C50421,23,cmshcc_v28_py2026
C50422,23,cmshcc_v28_py2026
C50429,23,cmshcc_v28_py2026
C50511,23,cmshcc_v28_py2026
C50512,23,cmshcc_v28_py2026
C50519,23,cmshcc_v28_py2026
