superior_hcc,excluded_hcc,source_version
17,18,cmshcc_v28_py2026
17,19,cmshcc_v28_py2026
17,20,cmshcc_v28_py2026
17,21,cmshcc_v28_py2026
17,22,cmshcc_v28_py2026
17,23,cmshcc_v28_py2026
18,19,cmshcc_v28_py2026
18,20,cmshcc_v28_py2026
18,21,cmshcc_v28_py2026
18,22,cmshcc_v28_py2026
18,23,cmshcc_v28_py2026
19,20,cmshcc_v28_py2026
19,21,cmshcc_v28_py2026
19,22,cmshcc_v28_py2026
19,23,cmshcc_v28_py2026
20,21,cmshcc_v28_py2026
20,22,cmshcc_v28_py2026
20,23,cmshcc_v28_py2026
21,22,cmshcc_v28_py2026
21,23,cmshcc_v28_py2026
22,23,cmshcc_v28_py2026
35,36,cmshcc_v28_py2026
35,37,cmshcc_v28_py2026
35,38,cmshcc_v28_py2026
36,37,cmshcc_v28_py2026
36,38,cmshcc_v28_py2026
37,38,cmshcc_v28_py2026
62,63,cmshcc_v28_py2026
62,64,cmshcc_v28_py2026
62,65,cmshcc_v28_py2026
62,68,cmshcc_v28_py2026
63,64,cmshcc_v28_py2026
63,65,cmshcc_v28_py2026
63,68,cmshcc_v28_py2026
63,202,cmshcc_v28_py2026
64,65,cmshcc_v28_py2026
64,68,cmshcc_v28_py2026
77,78,cmshcc_v28_py2026
77,80,cmshcc_v28_py2026
77,81,cmshcc_v28_py2026
80,81,cmshcc_v28_py2026
93,94,cmshcc_v28_py2026
107,108,cmshcc_v28_py2026
111,112,cmshcc_v28_py2026
114,115,cmshcc_v28_py2026
125,126,cmshcc_v28_py2026
125,127,cmshcc_v28_py2026
126,127,cmshcc_v28_py2026
135,136,cmshcc_v28_py2026
135,137,cmshcc_v28_py2026
135,138,cmshcc_v28_py2026
135,139,cmshcc_v28_py2026
136,137,cmshcc_v28_py2026
136,138,cmshcc_v28_py2026
136,139,cmshcc_v28_py2026
137,138,cmshcc_v28_py2026
137,139,cmshcc_v28_py2026
138,139,cmshcc_v28_py2026
151,152,cmshcc_v28_py2026
151,153,cmshcc_v28_py2026
151,154,cmshcc_v28_py2026
151,155,cmshcc_v28_py2026
152,153,cmshcc_v28_py2026
152,154,cmshcc_v28_py2026
152,155,cmshcc_v28_py2026
153,154,cmshcc_v28_py2026
153,155,cmshcc_v28_py2026
154,155,cmshcc_v28_py2026
180,181,cmshcc_v28_py2026
180,182,cmshcc_v28_py2026
180,253,cmshcc_v28_py2026
180,254,cmshcc_v28_py2026
181,182,cmshcc_v28_py2026
181,254,cmshcc_v28_py2026
191,180,cmshcc_v28_py2026
191,181,cmshcc_v28_py2026
191,182,cmshcc_v28_py2026
191,192,cmshcc_v28_py2026
191,253,cmshcc_v28_py2026
191,254,cmshcc_v28_py2026
192,180,cmshcc_v28_py2026
192,181,cmshcc_v28_py2026
192,182,cmshcc_v28_py2026
192,253,cmshcc_v28_py2026
192,254,cmshcc_v28_py2026
195,196,cmshcc_v28_py2026
211,212,cmshcc_v28_py2026
211,213,cmshcc_v28_py2026
212,213,cmshcc_v28_py2026
221,222,cmshcc_v28_py2026
221,223,cmshcc_v28_py2026
221,224,cmshcc_v28_py2026
221,225,cmshcc_v28_py2026
221,226,cmshcc_v28_py2026
221,227,cmshcc_v28_py2026
222,223,cmshcc_v28_py2026
222,224,cmshcc_v28_py2026
222,225,cmshcc_v28_py2026
222,226,cmshcc_v28_py2026
222,227,cmshcc_v28_py2026
223,224,cmshcc_v28_py2026
223,225,cmshcc_v28_py2026
223,226,cmshcc_v28_py2026
223,227,cmshcc_v28_py2026
224,225,cmshcc_v28_py2026
224,226,cmshcc_v28_py2026
224,227,cmshcc_v28_py2026
225,226,cmshcc_v28_py2026
225,227,cmshcc_v28_py2026
226,227,cmshcc_v28_py2026
228,229,cmshcc_v28_py2026
248,249,cmshcc_v28_py2026
253,254,cmshcc_v28_py2026
263,264,cmshcc_v28_py2026
263,383,cmshcc_v28_py2026
263,409,cmshcc_v28_py2026
276,277,cmshcc_v28_py2026
276,278,cmshcc_v28_py2026
276,279,cmshcc_v28_py2026
276,280,cmshcc_v28_py2026
277,278,cmshcc_v28_py2026
277,279,cmshcc_v28_py2026
277,280,cmshcc_v28_py2026
278,279,cmshcc_v28_py2026
278,280,cmshcc_v28_py2026
279,280,cmshcc_v28_py2026
282,283,cmshcc_v28_py2026
326,327,cmshcc_v28_py2026
326,328,cmshcc_v28_py2026
326,329,cmshcc_v28_py2026
327,328,cmshcc_v28_py2026
327,329,cmshcc_v28_py2026
328,329,cmshcc_v28_py2026
379,380,cmshcc_v28_py2026
379,381,cmshcc_v28_py2026
379,382,cmshcc_v28_py2026
379,383,cmshcc_v28_py2026
380,381,cmshcc_v28_py2026
380,382,cmshcc_v28_py2026
380,383,cmshcc_v28_py2026
381,382,cmshcc_v28_py2026
381,383,cmshcc_v28_py2026
382,383,cmshcc_v28_py2026
397,202,cmshcc_v28_py2026
397,398,cmshcc_v28_py2026
397,399,cmshcc_v28_py2026
398,202,cmshcc_v28_py2026
398,399,cmshcc_v28_py2026
405,409,cmshcc_v28_py2026
